Treated1_PE,Treated2_PE,Treated3_PE,Treated4_PE,Untreated1_PE,Untreated2_PE,Untreated3_PE,Untreated4_PE
15.02205,23.51096,28.855764110000003,13.98114,7.391052,17.67955,5.860914999999999,17.62772
0,1,0,0,1,0,2,0
60.75882,44.38804,50.39666299999999,90.37897000000001,17.0130531,31.089819999999996,30.43564,26.91377
2,3.87149,5.02471,8,66.5966746929,92.15124,64.529986,45.41853
28.9959829,42.17622,18.50215,44.78996,49.49241000000001,27.236710000000002,37.72464,45.7311
0,0,0,1,0,0.5,0,0
0,0,0,1,0,1,1,1
78.11749999999999,115.83024440000001,98.99995779999999,120.99365,49.00001300000001,62.17453,50.999992999999996,57.99999980000001
6.11541,4.259027,0.350903,4.134233,8.25574,12.08314,8.80664,6.7174700000000005
1.53746,3.07493,1.62332,0.448864,1.40896,1.3062,0.653099,1.82655
187.3354,247.47936000000004,178.28588,278.33022000000005,274.6849,412.86857,322.88,249.0378
206.42567000000003,233.23283999999998,152.43659,277.96826200000004,111.882599,221.15809499999997,134.86771000000002,110.96795999999999
0,0,0,0,0,0,0,0
5.3295200000000005,11.1936,6.816300999999999,6.22135,11.9257,19.0995,13.017949999999999,13.3003
240.6033,377.66222949999997,315.00001,425.47827621,350.82095000000004,542.278917,403.697862,345.82582099999996
21.505118,15.408963,28.304741999999997,42.50352,20.852361000000002,28.807223,20.607005200000003,19.525890999999998
29.55085,32.04414,29.50513,45.045011,11.92441,26.71376,31.10989,18.40129
103.25248,117.76308,83.342218,142.11461,62.34663,79.06991000000001,95.10601,73.14529999999999
4,11.000004999999998,4,11.999998,8,9.000003,5.000001,4.99999
0.360016,1.13414,1.43531,2.09649,0.854171,3.95066,2.74123,6.376335
1,2.08012,3.29382,5.45215,10.004000000000001,6.22859,6.175848,11.644654
30.999539,44.00003,17.999996,51.97113152993,23.054938999999997,41.00000399999999,33.050301000000005,38.145138
51.51605,74.70345900000001,54.53641999999999,86.18825,15.276150000000001,17.77868,15.319616000000002,12.083290000000002
40.420658,27.9060201,41.864691,41.830973,104.44624889999999,157.058888198381,57.22164000000001,135.5123662583
5.20422,6.27404,7.79193,13.27571,6.91567,4.32697,6.24724,9.237770000000001
11.295549999999999,5.601200067,9.09525,12.84358,0,0.733543,0,0
6.14453,8.47118,2.05163,5.53016,1.04599,2.05239,0,0.341884
0,0,1,2,0,1,0,0
29.644810000000003,48.591930000000005,15.641289999999998,51.248239999999996,118.13016,185.33453,109.30931000000001,115.05784
1.82,4.69804,1.64,6.3526300000000004,3.40857,6.52238,5.87114,2.51143
10.7451346505,19.5139444,22.789721999999998,13.38309,56.77254,77.206189,82.27276,39.22216
0,0,0,0,0,0,0,0
355.86761,421.005833,345.40467,512.4311702166609,231.61629300000004,333.2151,178.35585095947,204.62885719999997
0,0,2,0,0,0,0,0
41.53658,81.5232,50.84971,89.18705000000001,169.58199000000002,249.29559999999998,163.61491,165.2715
